(4039.9269781129824, 'A00001', 3858, 920)
(986.20632526518773, 'B00009', 798, 214)
(837.19004458086215, 'B00015', 623, 141)
(737.16134681118706, 'B00031', 510, 81)
(657.09547368202971, 'A00002', 2154, 19216)
(403.58223483268222, 'B00002', 689, 7387)
(360.80707605249046, 'C00001', 209, 32)
(354.5172720535644, 'C00019', 297, 182)
(281.03750062974404, 'C00043', 187, 55)
(276.57111226669218, 'C00044', 330, 190)
(226.71182820106171, 'A00003', 466, 5148)
(219.97234192148136, 'C00182', 122, 3)
(215.68802008137038, 'A00004', 236, 136)
(211.51546305183533, 'C00007', 204, 2824)
(210.64988234222642, 'C00042', 104, 13)
(206.29923436518496, 'C00066', 271, 230)
(196.80725075282328, 'C00186', 104, 22)
(176.96487637624469, 'B00001', 1512, 2940)
(170.59932697664033, 'C00082', 100, 16)
(169.8745719727394, 'B00027', 104, 17)
(161.18016766805135, 'B00012', 187, 2577)
(160.98896424358401, 'C00092', 96, 10)
(153.98283810339376, 'C00032', 194, 112)
(146.67499931814382, 'C00028', 337, 525)
(143.65588474831512, 'B00003', 414, 3910)
(141.55582826108125, 'C00091', 138, 55)
(138.4032068490406, 'B00037', 130, 41)
(134.07096034355393, 'C00098', 200, 107)
(126.28369935573387, 'B00014', 161, 96)
(116.06698196188235, 'C00031', 58, 9)
(114.52291202413902, 'C00038', 99, 36)
(98.819739648194542, 'C00029', 84, 18)
(96.742839609704134, 'B00013', 69, 37)
(96.456083911514668, 'C00020', 152, 149)
(96.193332874494672, 'C00003', 151, 1360)
(92.791829698723419, 'C00002', 133, 1396)
(90.197477031818067, 'B00004', 711, 1381)
(88.808074871375879, 'C00132', 70, 10)
(74.988116914132945, 'C00196', 44, 2)
(71.498376687507076, 'C00051', 96, 1120)
(69.94645824722943, 'C00006', 107, 1075)
(66.076108391092149, 'C00103', 56, 18)
(64.821290796410693, 'C00014', 58, 993)
(64.245830043481277, 'B00007', 205, 1691)
(58.649950346061431, 'D10307', 18, 1)
(56.793448589626934, 'D22126', 16, 0)
(56.282070259891007, 'C00048', 130, 1013)
(54.787888315891095, 'C00093', 74, 49)
(50.146792995288706, 'C00130', 54, 20)
(49.69426751592357, 'D33879', 14, 0)
(49.69426751592357, 'C00435', 16, 0)
(48.887198505260528, 'C00012', 150, 225)
(47.953039332376981, 'B00005', 72, 876)
(46.845188610257168, 'C00109', 54, 20)
(46.144676979071882, 'D35676', 13, 0)
(44.533431190543439, 'B00069', 16, 1)
(43.895769190844845, 'C00113', 84, 57)
(42.992734494790973, 'A00010', 54, 55)
(42.595086442220207, 'D18353', 12, 0)
(42.595086442220207, 'D18347', 12, 0)
(40.536105929134308, 'C00135', 53, 36)
(40.37408041058093, 'B00022', 147, 1059)
(39.342056200330333, 'D05339', 18, 6)
(39.260136979878929, 'C00202', 25, 6)
(39.045495905368519, 'D01625', 11, 0)
(37.84561629815321, 'C00075', 118, 179)
(36.600512751254762, 'C00301', 23, 2)
(35.987535395932113, 'D04595', 16, 5)
(35.49590536851683, 'D35703', 10, 0)
(35.49590536851683, 'D07875', 10, 0)
(35.49590536851683, 'C00143', 17, 0)
(35.49590536851683, 'B00043', 17, 0)
(34.292591910392908, 'B00006', 34, 445)
(33.0504397227729, 'C00010', 72, 769)
(32.785400449863843, 'C00102', 25, 26)
(31.950780263552492, 'C00083', 34, 26)
(31.037129952713645, 'C00016', 47, 652)
(30.476434210944557, 'D07360', 10, 1)
(30.476434210944557, 'D00138', 10, 1)
(30.476434210944557, 'C00163', 12, 1)
(30.431165042822954, 'B00021', 19, 396)
(30.413088040420519, 'C00018', 47, 509)
(29.994823103127054, 'C00052', 2, 295)
(29.740565038456971, 'B00054', 13, 2)
(29.619095321235445, 'C00238', 14, 5)
(28.396724294813467, 'D19233', 8, 0)
(28.396724294813467, 'D16648', 8, 0)
(28.396724294813467, 'D16546', 8, 0)
(28.396724294813467, 'D04484', 8, 0)
(28.396724294813467, 'D03615', 8, 0)
(27.74325054656898, 'A00008', 38, 18)
(27.361366967908012, 'C00074', 27, 358)
(26.979855612020806, 'D07353', 9, 1)
(26.979855612020806, 'C00205', 12, 1)
(25.925509976197617, 'C00005', 105, 874)
(24.847133757961785, 'D27614', 7, 0)
(24.847133757961785, 'D11191', 7, 0)
(24.847133757961785, 'D05981', 7, 0)
(24.847133757961785, 'D01848', 7, 0)
(24.847133757961785, 'D01690', 7, 0)
(24.847133757961785, 'D00449', 7, 0)
(24.847133757961785, 'C00327', 10, 0)
(24.330443567777785, 'C00045', 6, 214)
(23.944697854158896, 'B00017', 41, 500)
(23.538014815884484, 'C00041', 35, 17)
(23.495057443747715, 'B00062', 19, 1)
(22.967611275079399, 'C00229', 14, 2)
(22.95173243140459, 'C00036', 36, 464)
(22.47602928070247, 'C00081', 5, 155)
(22.198282933909333, 'C00059', 85, 552)
(21.97801721982313, 'C00009', 69, 604)
(21.541986008994773, 'B00020', 17, 371)
(21.297543221110104, 'D29161', 6, 0)
(21.297543221110104, 'D20046', 6, 0)
(21.297543221110104, 'D13302', 6, 0)
(21.297543221110104, 'D12337', 6, 0)
(21.297543221110104, 'D11587', 6, 0)
(21.297543221110104, 'D08852', 6, 0)
(21.297543221110104, 'D03625', 6, 0)
(21.297543221110104, 'D01780', 6, 0)
(20.02645736761928, 'D11414', 7, 1)
(20.02645736761928, 'D05865', 7, 1)
(20.02645736761928, 'D05501', 7, 1)
